ticker,time,low,high,open,close,volume,provider
6054,2010-07-18,0.0495,0.0858,0.0495,0.0858,0,1
6054,2010-07-19,0.0772,0.0931,0.0858,0.0808,0,1
6054,2010-07-20,0.0743,0.0818,0.0808,0.0747,0,1
6054,2010-07-21,0.0663,0.0792,0.0747,0.0792,0,1
6054,2010-07-22,0.0505,0.0818,0.0792,0.0505,2,1
6054,2010-07-23,0.0505,0.0677,0.0505,0.0626,2,1
6054,2010-07-24,0.0505,0.0626,0.0626,0.0545,0,1
6054,2010-07-25,0.0505,0.0594,0.0545,0.0505,1,1
6054,2010-07-26,0.05,0.056,0.0505,0.056,0,1
6054,2010-07-27,0.053,0.0605,0.056,0.06,3,1
6054,2010-07-28,0.054,0.062,0.06,0.0589,4,1
6054,2010-07-29,0.0571,0.0699,0.0589,0.0699,8,1
6054,2010-07-30,0.0582,0.0699,0.0699,0.0627,3,1
6054,2010-07-31,0.056,0.0689,0.0627,0.0678,4,1
6054,2010-08-01,0.06,0.0678,0.0678,0.0611,2,1
6054,2010-08-02,0.06,0.0633,0.0611,0.06,3,1
6054,2010-08-03,0.059,0.065,0.06,0.06,9,1
6054,2010-08-04,0.057,0.0623,0.06,0.057,3,1
6054,2010-08-05,0.057,0.061,0.057,0.061,5,1
6054,2010-08-06,0.0607,0.0624,0.061,0.0623,1,1
6054,2010-08-07,0.059,0.0623,0.0623,0.059,2,1
6054,2010-08-08,0.059,0.061,0.059,0.0609,2,1
6054,2010-08-09,0.0593,0.0735,0.0609,0.071,13,1
6054,2010-08-10,0.0665,0.071,0.071,0.07,1,1
6054,2010-08-11,0.06,0.0754,0.07,0.067,14,1
6054,2010-08-12,0.0614,0.07,0.067,0.07,2,1
6054,2010-08-13,0.0645,0.07,0.07,0.0645,3,1
6054,2010-08-14,0.0645,0.0695,0.0645,0.067,4,1
6054,2010-08-15,0.065,0.067,0.067,0.0653,4,1
6054,2010-08-16,0.062,0.0679,0.0653,0.0655,10,1
6054,2010-08-17,0.0624,0.0769,0.0655,0.07,13,1
6054,2010-08-18,0.067,0.0733,0.07,0.068,2,1
6054,2010-08-19,0.0667,0.068,0.068,0.0667,0,1
